Index,Place_ID,Category
1,51512b54fd976c54c059bad57810f5c04440f00102f90199230c060000000092031a4772656174204c616b657320536369656e63652043656e746572,building
2,51512b54fd976c54c059bad57810f5c04440f00102f90199230c060000000092031a4772656174204c616b657320536369656e63652043656e746572,building.tourism
3,51512b54fd976c54c059bad57810f5c04440f00102f90199230c060000000092031a4772656174204c616b657320536369656e63652043656e746572,entertainment
4,51512b54fd976c54c059bad57810f5c04440f00102f90199230c060000000092031a4772656174204c616b657320536369656e63652043656e746572,entertainment.museum
5,51512b54fd976c54c059bad57810f5c04440f00102f90199230c060000000092031a4772656174204c616b657320536369656e63652043656e746572,internet_access
6,51512b54fd976c54c059bad57810f5c04440f00102f90199230c060000000092031a4772656174204c616b657320536369656e63652043656e746572,wheelchair
7,51512b54fd976c54c059bad57810f5c04440f00102f90199230c060000000092031a4772656174204c616b657320536369656e63652043656e746572,wheelchair.yes
8,51b2dc88dd2d6c54c059cf10648275c14440f00103f9011bee35e10000000092032a496e7465726e6174696f6e616c20576f6d656e27732041697220616e64205370616365204d757365756d,entertainment
9,51b2dc88dd2d6c54c059cf10648275c14440f00103f9011bee35e10000000092032a496e7465726e6174696f6e616c20576f6d656e27732041697220616e64205370616365204d757365756d,entertainment.museum
10,51b2dc88dd2d6c54c059cf10648275c14440f00103f9011bee35e10000000092032a496e7465726e6174696f6e616c20576f6d656e27732041697220616e64205370616365204d757365756d,no_fee
11,51b2dc88dd2d6c54c059cf10648275c14440f00103f9011bee35e10000000092032a496e7465726e6174696f6e616c20576f6d656e27732041697220616e64205370616365204d757365756d,no_fee.no
12,519cd26ebb406c54c059c44519842bc04440f00102f901701cc305000000009203244d61696e204272616e636820436c6576656c616e64205075626c6963204c696272617279,education
13,519cd26ebb406c54c059c44519842bc04440f00102f901701cc305000000009203244d61696e204272616e636820436c6576656c616e64205075626c6963204c696272617279,education.library
14,519cd26ebb406c54c059c44519842bc04440f00102f901701cc305000000009203244d61696e204272616e636820436c6576656c616e64205075626c6963204c696272617279,internet_access
15,519cd26ebb406c54c059c44519842bc04440f00102f901701cc305000000009203244d61696e204272616e636820436c6576656c616e64205075626c6963204c696272617279,internet_access.free
16,5164ffa097066c54c0594f6fd80affbb4440f00102f901e9ba03130000000092031e41204368726973746d61732053746f727920486f757365204d757365756d,building
17,5164ffa097066c54c0594f6fd80affbb4440f00102f901e9ba03130000000092031e41204368726973746d61732053746f727920486f757365204d757365756d,building.tourism
18,5164ffa097066c54c0594f6fd80affbb4440f00102f901e9ba03130000000092031e41204368726973746d61732053746f727920486f757365204d757365756d,entertainment
19,5164ffa097066c54c0594f6fd80affbb4440f00102f901e9ba03130000000092031e41204368726973746d61732053746f727920486f757365204d757365756d,entertainment.museum
20,5125dac4ea846c54c0594a4c1efa5ac04440f00102f901bd1434190000000092031948696c746f6e20436c6576656c616e6420446f776e746f776e,accommodation
21,5125dac4ea846c54c0594a4c1efa5ac04440f00102f901bd1434190000000092031948696c746f6e20436c6576656c616e6420446f776e746f776e,accommodation.hotel
22,5125dac4ea846c54c0594a4c1efa5ac04440f00102f901bd1434190000000092031948696c746f6e20436c6576656c616e6420446f776e746f776e,building
23,5125dac4ea846c54c0594a4c1efa5ac04440f00102f901bd1434190000000092031948696c746f6e20436c6576656c616e6420446f776e746f776e,building.accommodation
24,5125dac4ea846c54c0594a4c1efa5ac04440f00102f901bd1434190000000092031948696c746f6e20436c6576656c616e6420446f776e746f776e,internet_access
25,5125dac4ea846c54c0594a4c1efa5ac04440f00102f901bd1434190000000092031948696c746f6e20436c6576656c616e6420446f776e746f776e,wheelchair
26,5125dac4ea846c54c0594a4c1efa5ac04440f00102f901bd1434190000000092031948696c746f6e20436c6576656c616e6420446f776e746f776e,wheelchair.yes
27,51d5e39b519d6d54c059ceac89339dba4440f00102f901b1c6fd250000000092030d46756c746f6e204272616e6368,building
28,51d5e39b519d6d54c059ceac89339dba4440f00102f901b1c6fd250000000092030d46756c746f6e204272616e6368,building.public_and_civil
29,51d5e39b519d6d54c059ceac89339dba4440f00102f901b1c6fd250000000092030d46756c746f6e204272616e6368,education
30,51d5e39b519d6d54c059ceac89339dba4440f00102f901b1c6fd250000000092030d46756c746f6e204272616e6368,education.library
31,51d5e39b519d6d54c059ceac89339dba4440f00102f901b1c6fd250000000092030d46756c746f6e204272616e6368,internet_access
32,51d5e39b519d6d54c059ceac89339dba4440f00102f901b1c6fd250000000092030d46756c746f6e204272616e6368,internet_access.free
33,5161c88044206954c059c257a8c374c24440f00102f901aeccfd250000000092030e41646469736f6e204272616e6368,building
34,5161c88044206954c059c257a8c374c24440f00102f901aeccfd250000000092030e41646469736f6e204272616e6368,building.public_and_civil
35,5161c88044206954c059c257a8c374c24440f00102f901aeccfd250000000092030e41646469736f6e204272616e6368,education
